,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-03,179.95388793945312,328.7276916503906,464.9233703613281,399.9266662597656,182.00999450683594,334.75,477.7099914550781,399.9266662597656,182.8800048828125,338.0,477.8500061035156,400.3566589355469,177.7100067138672,329.7799987792969,473.8500061035156,378.67999267578125,177.8300018310547,335.3500061035156,476.29998779296875,382.5833435058594,104487900,28865100,72668200,103931400
2022-01-04,177.66998291015625,323.0909729003906,464.7676696777344,383.1966552734375,179.6999969482422,329.010009765625,477.54998779296875,383.1966552734375,182.94000244140625,335.20001220703125,479.9800109863281,402.6666564941406,179.1199951171875,326.1199951171875,475.5799865722656,374.3500061035156,182.6300048828125,334.8299865722656,479.2200012207031,396.51666259765625,99310400,32674300,71178700,100248300
2022-01-05,172.94398498535156,310.6881408691406,455.8431091308594,362.7066650390625,174.9199981689453,316.3800048828125,468.3800048828125,362.7066650390625,180.1699981689453,326.07000732421875,477.9800109863281,390.11334228515625,174.63999938964844,315.9800109863281,468.2799987792969,360.336669921875,179.61000061035156,325.8599853515625,477.1600036621094,382.2166748046875,94537600,40054300,104538900,80119800
2022-01-06,170.0569610595703,308.2331237792969,455.4149169921875,354.8999938964844,172.0,313.8800048828125,467.94000244140625,354.8999938964844,175.3000030517578,318.70001220703125,470.82000732421875,362.6666564941406,171.63999938964844,311.489990234375,465.42999267578125,340.1666564941406,172.6999969482422,313.1499938964844,467.8900146484375,359.0,96904000,39646100,86858900,90336600
2022-01-07,170.2250518798828,308.3902587890625,453.6144104003906,342.32000732421875,172.1699981689453,314.0400085449219,466.0899963378906,342.32000732421875,174.13999938964844,316.5,469.20001220703125,360.30999755859375,171.02999877929688,310.0899963378906,464.6499938964844,336.6666564941406,172.88999938964844,314.1499938964844,467.95001220703125,360.1233215332031,86709100,32720000,85111600,84164700
2022-01-10,170.2448272705078,308.6160583496094,453.0499572753906,352.7066650390625,172.19000244140625,314.2699890136719,465.510009765625,352.7066650390625,172.5,314.7200012207031,465.739990234375,353.0333251953125,168.1699981689453,304.69000244140625,456.6000061035156,326.6666564941406,169.0800018310547,309.489990234375,462.70001220703125,333.3333435058594,106765600,44289500,119362000,91815000
2022-01-11,173.10215759277344,309.3133239746094,457.17645263671875,354.79998779296875,175.0800018310547,314.9800109863281,469.75,354.79998779296875,175.17999267578125,316.6099853515625,469.8500061035156,358.6166687011719,170.82000732421875,309.8900146484375,462.04998779296875,346.2733459472656,172.32000732421875,313.3800048828125,465.2300109863281,351.22332763671875,76138300,29386800,74303100,66063300
2022-01-12,173.547119140625,312.54412841796875,458.4124450683594,368.739990234375,175.52999877929688,318.2699890136719,471.0199890136719,368.739990234375,177.17999267578125,323.4100036621094,473.20001220703125,371.61334228515625,174.82000732421875,317.0799865722656,468.94000244140625,357.5299987792969,176.1199951171875,319.6700134277344,471.5899963378906,359.6166687011719,74805200,34372200,67605400,83739000
